파일 시스템     크기  사용  가용 사용% 마운트위치
tmpfs           9.5G   26M  9.4G    1% /run
/dev/nvme0n1p3  272G  231G   27G   90% /
tmpfs            48G   41M   47G    1% /dev/shm
tmpfs           5.0M   20K  5.0M    1% /run/lock
efivarfs        256K  123K  129K   49% /sys/firmware/efi/efivars
/dev/sda1       916G  849G   21G   98% /mnt/sda1
/dev/nvme1n1p2  915G  820G   49G   95% /mnt/nvme0n1p2
/dev/nvme0n1p1  1.1G  6.2M  1.1G    1% /boot/efi
/dev/sdc1       932G  924G  8.2G  100% /mnt/sdc1
/dev/nvme0n1p2  643G  610G     0  100% /mnt/nvme1n1p2
tmpfs           9.5G  144K  9.5G    1% /run/user/1000
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/0a123960b0df3f25c09d06090c2cb26b91b913e6a09307f77fabe6b27d594eb3/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/037adf95c917f06f530a3c83b660c1347cefbeb3077a5fe650c6694b155ace21/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/9dc6e62e690a3d6e6879d58c35d4659a587dfcfb41396319c31792b2cf5295bc/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/974752a97186eace44ce270421cbd83ab4ba1a823e5368d71e8735b6ce7ae3ed/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/d4fe8c6c7cfb3e3c8089c9b1603ffbca355ad6798b19f150a0bef7e6ab3a7157/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/ee343ff47cb537a60766749947c11c1e61c669fad6234b4a84f3186dd0b6ca51/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/0558805f0e1119a398c85d1d556f01e1312d366593cf39d0bad598ba09d8c1a2/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/3bbad99bfaf0bad39537be788d135f34fd152453ff4eeb0ecd7a0ab47913886c/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/54b1b1ef44b996650a88f16b65022cbef6baf111c34946306b9cba2da7160890/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/3c21f970d90bd4ec022479cf90c4c5f1c4f909451e0ec8032afdff92a5f0156a/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/cad038345b8ff169678250336f0c89eac3f2f25434f15287c7454f54f9995ddb/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/7cb8e8688e1b0548dc40434c9af8f443e0c301934cbe317260c91834dfeecce2/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/e7a31e42eb7cb21a09924652b80277a476645556160fa5210b49b6b23b87848a/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/2d851e9fc2164b924b786c75ec05ee03eacb2ffd666078ad1a68e4d27b8a7a0a/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/531d1264940a5015116dca8c9989ed49b782a80bac132e9ba7c5fb7038fcf253/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/506597e9298aee443f030308a0a07ce08f052df24e09aab7b9d6db576d881ed9/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/9378fa06eb751f5c5d2018e73dadb78edbbd4a8b01fa73a50ee297946a46b736/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/e636c9879a6340cf4d071c744b41930fcb9308ede5a828f376f652a0441193f4/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/a953e38b23fca0d9991d45f9f0e144732c01c5a3d843bcc70f568db52b69a472/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/61e44a514225a74de9f2aa4611354d5a5670c65e0ac94ea7848825089074c05f/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/a1f072eb49e950cbf21bfdc7fccaf56291d753c0460eded98b844265d1447e1e/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/84dff55ac05fbd5000b0f62362fecc5ccf3c7c34f69b219c260f05067f43d58c/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/7a7f746e6f61d6278fd4671197616a4a08c9de3ebe76429fa3e9286b04935630/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/a4a71c6571fbd66004ecc886d97d820998e8542a07444f7d751a4e5a9411b1da/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/c6cfbba24d346b5078bac97ddd2b1558e897fae3e383d8f0d3b2be05b4df451e/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/b39728f07e6c4208aa0a7eadd0bb7da83ffeb9882cffc3559644e4db16c5a181/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/d74beb4d862d28844b68110b239cf87c3ad740c25a80721513fce8272c9e8a38/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/9f91f401ef48c947cfa166dd70af22c04f70de4e221eb679661f51535b8d0839/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/1209c3308063d79d19bc6652c5f18ed6734b7fceef9e54f7464f4ca342e892b9/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/4248e04d005155f17aea3f575472061f4e6d3d92eab5f840e7cc948ed79bee67/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/753f2f1793f6df8eecb56e7b8e93f5a1483cba957f8747c55c1bad5372ec8362/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/ee67c9bdd7e445102e732bb9d78014954b55af33f8729ca4222917624169626f/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/56926bc6f05c353c260ccb074906a6b0ff5c75bf467530ef5663e450877bc7f5/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/8c826c6768dac073ae286a380e9b8aa3b5fd615d1609653ccdd03cc13db8352b/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/c6df75b0d0bbb90ca5508685bcd27bee9172e1877ccdb6b5d9fe09a2af526f31/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/3f859e396265aacc3651e26d1d693ce907ecaf1b89dd576bd3bfb0f6de258174/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/57ce40483c3b7be8f0cb0b684c896b9dd82bb05f051be035f7e3957351f0178f/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/7c608f161e9963ebb0381ef9505b643b5f1a567d32cefd3ccc272c71fe5a3ff5/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/48a373a537ac87995a09ba8e7bd4659ab692d2093929487be25a502214b0df4e/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/1d26f95d79ea66834f913fca83a109a4772c3a498cd70c1a8fbbb9bc4fd2722b/shm
